Score,Summary,Text,Sentiment,Content
1,Gerber's fruits are cooked,"I've been giving my daughter Gerber fruits, veggies, and meat as everyday-meals since she was 6 months old, thinking that she's got enough vitamins and prebiotics. However, she developed digestive problem and chronic constipation; she almost stopped gaining weight since she was 9 months old. I took her to GI and she told me that those packed fruits are all cooked! And there are additives to keep them fresh for long period of time! I started to puree fruits and veggies using Vitamix, and only use Gerber fruits&veggies when we are out and about. Now, after half a year of probiotics and wholesome food, she's slowly getting better and opens her mouth to food.<br />Now, think about this: if you puree an apple and leave it alone for 5 minutes, it'll change color due to oxidation. So, how can Gerber's apple puree keep the same color for so long a time?",negative,"Gerber's fruits are cooked. I've been giving my daughter Gerber fruits, veggies, and meat as everyday-meals since she was 6 months old, thinking that she's got enough vitamins and prebiotics. However, she developed digestive problem and chronic constipation; she almost stopped gaining weight since she was 9 months old. I took her to GI and she told me that those packed fruits are all cooked! And there are additives to keep them fresh for long period of time! I started to puree fruits and veggies using Vitamix, and only use Gerber fruits&veggies when we are out and about. Now, after half a year of probiotics and wholesome food, she's slowly getting better and opens her mouth to food.<br />Now, think about this: if you puree an apple and leave it alone for 5 minutes, it'll change color due to oxidation. So, how can Gerber's apple puree keep the same color for so long a time?"
1,this vendor was gross,This is typically a super tasty candy - but this order is so old and gross. I looked at what was different and its from a different seller. yuck. I am throwing them out.,negative,this vendor was gross. This is typically a super tasty candy - but this order is so old and gross. I looked at what was different and its from a different seller. yuck. I am throwing them out.
5,Honest Tea Organic Peach White Tea Great Tea,"Loved it! Great mild organic tea and very convenient to have a case or 2 delivered to your front door for free!! Saves time and money. This tea has a mile sweet taste, not to overbearing. It is made with white tea which has the least amount of fluoride in it of all the teas since white tea leaves are the youngest of the tea leaf plant, which is something that green or black tea leaves are not. (Just something extra to think about when you are drinking green tea, lots of fluoride, black tea is the worst for you!). Get it you won't be sorry.",positive,"Honest Tea Organic Peach White Tea Great Tea. Loved it! Great mild organic tea and very convenient to have a case or 2 delivered to your front door for free!! Saves time and money. This tea has a mile sweet taste, not to overbearing. It is made with white tea which has the least amount of fluoride in it of all the teas since white tea leaves are the youngest of the tea leaf plant, which is something that green or black tea leaves are not. (Just something extra to think about when you are drinking green tea, lots of fluoride, black tea is the worst for you!). Get it you won't be sorry."
5,Best Flavor ... Best Price ... Best Way to Purchase!,"I think I covered it all in the title. We've tried lots of different flavors when we could find them at the grocery store, but often they're not available in high quantities. I've found this encourages me to drink more water, and this is my favorite flavor. Grocery stores rarely carry it in the quantity that I prefer to purchase, and this makes it simple for me to make sure I always have plenty on hand. Great product, great flavor, and plenty in the cupboard at all times ...<a href=""http://www.amazon.com/gp/product/B005VI2YBY"">Ocean Spray Drink Mix White Cran - Peach On The Go - 6 Pack</a>",positive,"Best Flavor ... Best Price ... Best Way to Purchase!. I think I covered it all in the title. We've tried lots of different flavors when we could find them at the grocery store, but often they're not available in high quantities. I've found this encourages me to drink more water, and this is my favorite flavor. Grocery stores rarely carry it in the quantity that I prefer to purchase, and this makes it simple for me to make sure I always have plenty on hand. Great product, great flavor, and plenty in the cupboard at all times ...<a href=""http://www.amazon.com/gp/product/B005VI2YBY"">Ocean Spray Drink Mix White Cran - Peach On The Go - 6 Pack</a>"
5,beautiful,"I got this almonds for my daughters wedding candy buffet and they look as beautiful as in the picture and they taste so good, there pricey but they are worth it I mixed them with ivory color almonds and it looks just stunning .Now you have to be careful with what almonds you order this are eatable theres some that they been sold cheaper and they are not eatable so be careful . Also theres some that they just have a gold wrapping . But this ones are eatable and they have the gold finish shiny coat . This are the ones if you are looking for beautiful gold almonds .Thank You",positive,"beautiful. I got this almonds for my daughters wedding candy buffet and they look as beautiful as in the picture and they taste so good, there pricey but they are worth it I mixed them with ivory color almonds and it looks just stunning .Now you have to be careful with what almonds you order this are eatable theres some that they been sold cheaper and they are not eatable so be careful . Also theres some that they just have a gold wrapping . But this ones are eatable and they have the gold finish shiny coat . This are the ones if you are looking for beautiful gold almonds .Thank You"
5,Tommy Moloneys,I have ordered from Tommy Moloneys on a number of occasions and the QUALITY AND SERVICE IS ABSOLUTELY EXCELLENT. Highly recommend. Cannot get better testing Irish products anywhere else in the States.<br /><br />Theresa K.<br />Fresno.,positive,Tommy Moloneys. I have ordered from Tommy Moloneys on a number of occasions and the QUALITY AND SERVICE IS ABSOLUTELY EXCELLENT. Highly recommend. Cannot get better testing Irish products anywhere else in the States.<br /><br />Theresa K.<br />Fresno.
5,Italian Meatballs - Easy to Prepare & Delicious,"I discovered this product at a local grocery store when we were living in the Midwest.  Unfortunately, since moving South, I had been unable to find it.  So I thought...I'll check on Amazon... and sure enough I found it!  Makes delicious Italian meatballs (which my husband loves) in minutes.  All you add to the packet is ground beef, egg and water...simple enough!  I always keep extra boxes in my pantry.",positive,"Italian Meatballs - Easy to Prepare & Delicious. I discovered this product at a local grocery store when we were living in the Midwest.  Unfortunately, since moving South, I had been unable to find it.  So I thought...I'll check on Amazon... and sure enough I found it!  Makes delicious Italian meatballs (which my husband loves) in minutes.  All you add to the packet is ground beef, egg and water...simple enough!  I always keep extra boxes in my pantry."
4,Not the best flavor but still good,"Not the best flavor but still good as the other Peter Rabit products, my 4 yrs old and the 17 months old love them all.",positive,"Not the best flavor but still good. Not the best flavor but still good as the other Peter Rabit products, my 4 yrs old and the 17 months old love them all."
4,A tasty chai!,"I'm always looking for a good chai, and I'm kinda picky about it since I really don't care for anything that tastes like licorice.  Many chai blends include star anise, which ruins it for me.<br /><br />Higgins & Burke's chai doesn't have any nasty licorice-y flavors in it, so hooray!  It's a tasty chai that's heavier on clove and cardamom, and I really enjoy drinking it with a bit of vanilla soy milk.<br /><br />I would suggest steeping it for a solid five minutes, though.  I steeped for 3 and a half minutes the first time, and it was pretty weak.  At five minutes (or more; I like strong tea), it's perfect.",positive,"A tasty chai!. I'm always looking for a good chai, and I'm kinda picky about it since I really don't care for anything that tastes like licorice.  Many chai blends include star anise, which ruins it for me.<br /><br />Higgins & Burke's chai doesn't have any nasty licorice-y flavors in it, so hooray!  It's a tasty chai that's heavier on clove and cardamom, and I really enjoy drinking it with a bit of vanilla soy milk.<br /><br />I would suggest steeping it for a solid five minutes, though.  I steeped for 3 and a half minutes the first time, and it was pretty weak.  At five minutes (or more; I like strong tea), it's perfect."
4,Warm and Yummy,This may be my favorite type of Celestial Seasonings so far. I am a huge tea drinker and I love the sweet and spicy blend you get from this mix. Plus I am a huge fan of my K-cup machine. So just before bed now I have a cup of Mandarin Orange Spice.,positive,Warm and Yummy. This may be my favorite type of Celestial Seasonings so far. I am a huge tea drinker and I love the sweet and spicy blend you get from this mix. Plus I am a huge fan of my K-cup machine. So just before bed now I have a cup of Mandarin Orange Spice.
5,"One bite and you'll become a ""chippoisseur""","I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. I tell them Kettle Brand does for potato chips what microbrews did for beer.<br /><br />Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.<br /><br />I also recommend <a href=""http://www.amazon.com/gp/product/B000G6MBV4"">Kettle Chips Honey Dijon</a> and <a href=""http://www.amazon.com/gp/product/B000G6Q4GM"">Kettle Chips Spicy Thai</a>.<br /><br />Annette Solomon, a reporter for the Salem Statesman Journal recently noted that a glass of wine goes nicely with these chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly.""",positive,"One bite and you'll become a ""chippoisseur"". I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. I tell them Kettle Brand does for potato chips what microbrews did for beer.<br /><br />Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.<br /><br />I also recommend <a href=""http://www.amazon.com/gp/product/B000G6MBV4"">Kettle Chips Honey Dijon</a> and <a href=""http://www.amazon.com/gp/product/B000G6Q4GM"">Kettle Chips Spicy Thai</a>.<br /><br />Annette Solomon, a reporter for the Salem Statesman Journal recently noted that a glass of wine goes nicely with these chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly."""
5,"Tastes great, no heartburn","I got this coffee for my husband who loves coffee but is unable to drink it everyday due to the heartburn it gives him.  I separated the packet into 2 half pots for 2 days.  He loved the taste of it, it was bold and flavorful and did what it claimed to do...not give him heartburn.  That is a win-win in our book.  We recommend this coffee if you are looking for a bold flavor and want to avoid the heartburn.",positive,"Tastes great, no heartburn. I got this coffee for my husband who loves coffee but is unable to drink it everyday due to the heartburn it gives him.  I separated the packet into 2 half pots for 2 days.  He loved the taste of it, it was bold and flavorful and did what it claimed to do...not give him heartburn.  That is a win-win in our book.  We recommend this coffee if you are looking for a bold flavor and want to avoid the heartburn."
1,Expensive Junk,"There you think the name Rachael Ray would be associated with a high quality product.... it isn't. Perhaps Rachael doesn't know what a high quality ingredient is.<br /><br />Nutrish is full of fillers and allergens, though it says No Fillers on the packaging. Brown Rice is #8 on the ingredient list, which means there's hardly any brown rice in it. One of the main ingredient is Brewers Rice. Corn and soy are allergens + dogs cannot digest corn.<br /><br />***Brewers rice is the small milled fragments of rice kernels that have been separated from the larger kernels of milled rice. (AAFCO definition).[1] Brewers rice is a processed rice product that is missing many of the nutrients contained in whole ground rice and***<br /><br />I received samples of this food sent to me by the manufacturer. The samples were past the expiration date and the ingredients of the product are not good enough for my dogs. I'm sticking with Innova.",negative,"Expensive Junk. There you think the name Rachael Ray would be associated with a high quality product.... it isn't. Perhaps Rachael doesn't know what a high quality ingredient is.<br /><br />Nutrish is full of fillers and allergens, though it says No Fillers on the packaging. Brown Rice is #8 on the ingredient list, which means there's hardly any brown rice in it. One of the main ingredient is Brewers Rice. Corn and soy are allergens + dogs cannot digest corn.<br /><br />***Brewers rice is the small milled fragments of rice kernels that have been separated from the larger kernels of milled rice. (AAFCO definition).[1] Brewers rice is a processed rice product that is missing many of the nutrients contained in whole ground rice and***<br /><br />I received samples of this food sent to me by the manufacturer. The samples were past the expiration date and the ingredients of the product are not good enough for my dogs. I'm sticking with Innova."
5,YUMMY!,They say do the Kind thing!  But after you taste them you will find you are doing the YUMMY thing!  These are the BEST Gluten/Wheat free bars I have ever had!  Kids will love them too!  And a Fiber bonus!,positive,YUMMY!. They say do the Kind thing!  But after you taste them you will find you are doing the YUMMY thing!  These are the BEST Gluten/Wheat free bars I have ever had!  Kids will love them too!  And a Fiber bonus!
5,Perfect!,"I have looked and looked to find any kind of potato chip type product that is seasoned with JUST salt and pepper and it's not at all easy to find! For some reason they over seasoned with garlic, sugar, onion and all kinds of other flavors so you barely notice the black pepper. These are just right - just sea salt and black pepper - very satisfying and the very few calories are a wonderful bonus!",positive,"Perfect!. I have looked and looked to find any kind of potato chip type product that is seasoned with JUST salt and pepper and it's not at all easy to find! For some reason they over seasoned with garlic, sugar, onion and all kinds of other flavors so you barely notice the black pepper. These are just right - just sea salt and black pepper - very satisfying and the very few calories are a wonderful bonus!"
5,Just like the movies,If you are looking for the same popcorn they sell at the movie theaters this is the one. I use this one with my Gold Medal popcorn maker. Big hit with friends and family.,positive,Just like the movies. If you are looking for the same popcorn they sell at the movie theaters this is the one. I use this one with my Gold Medal popcorn maker. Big hit with friends and family.
5,Good stuff,"I usually make my popcorn on the stove but when I got a popcorn machine I quickly noticed you can't use the same methods and decided to buy these packets.  The popcorn doesn't come out the same as when I make it on the stove but it is good nonetheless (a diff type of good) plus much less hassle.  I was worried when I read other reviews about the ""stale"" taste and oil...I didn't have any of that.  When the box came some of the oil was liquid and other packets were solid, it worried me but I found out that the oil had just hardened (it happens according to the temp of my house) which is quickly fixed when you pour the stuff into your hot popcorn maker.  No complaints here!",positive,"Good stuff. I usually make my popcorn on the stove but when I got a popcorn machine I quickly noticed you can't use the same methods and decided to buy these packets.  The popcorn doesn't come out the same as when I make it on the stove but it is good nonetheless (a diff type of good) plus much less hassle.  I was worried when I read other reviews about the ""stale"" taste and oil...I didn't have any of that.  When the box came some of the oil was liquid and other packets were solid, it worried me but I found out that the oil had just hardened (it happens according to the temp of my house) which is quickly fixed when you pour the stuff into your hot popcorn maker.  No complaints here!"
1,Misleading Flavor Name,"As coffee in general, this Wolfgang variety was alright. However, I was expecting a ""Creme Caramel"" taste, or something similar, and I don't feel this delivered. I tried multiple cups at different cup sizes and this coffee just didn't do it for me. It is marketed as a flavored coffee, yet I could not taste anything beyond the flavor of coffee.",negative,"Misleading Flavor Name. As coffee in general, this Wolfgang variety was alright. However, I was expecting a ""Creme Caramel"" taste, or something similar, and I don't feel this delivered. I tried multiple cups at different cup sizes and this coffee just didn't do it for me. It is marketed as a flavored coffee, yet I could not taste anything beyond the flavor of coffee."
5,Good healthy alternative to coffee,"I was hesitant at making the sacrifice of giving up coffee due to blood pressure issues but the chocolate flavor is  nice switch!  Its NOT true coffee but I am looking more for the morning ritual of putting coffee into a coffee maker, etc and pouring it onto a mug with half and half at the bottom. This is a nice psychological alternative PLUS, I dont miss the anxiety attacks I was getting from drinking way too much coffee!!  Good substitute. Not cheap, but worth it!",positive,"Good healthy alternative to coffee. I was hesitant at making the sacrifice of giving up coffee due to blood pressure issues but the chocolate flavor is  nice switch!  Its NOT true coffee but I am looking more for the morning ritual of putting coffee into a coffee maker, etc and pouring it onto a mug with half and half at the bottom. This is a nice psychological alternative PLUS, I dont miss the anxiety attacks I was getting from drinking way too much coffee!!  Good substitute. Not cheap, but worth it!"
5,Great Memories,"I remember when I was younger, walking down to the local store and buying these.  They are as good now as they were when I was a kid.  I love them!!",positive,"Great Memories. I remember when I was younger, walking down to the local store and buying these.  They are as good now as they were when I was a kid.  I love them!!"
5,Great instant hot cereal - finally!,"This instant oatmeal is mildly sweet (some may want to add a bit more flavoring), very easy to prepare, and nutritious.  It is great!  Our favorite is the banana maple flax.",positive,"Great instant hot cereal - finally!. This instant oatmeal is mildly sweet (some may want to add a bit more flavoring), very easy to prepare, and nutritious.  It is great!  Our favorite is the banana maple flax."
1,Light roast not Regular!!!!!,"This is NOT the regular roast Green Mountain Hazelnut coffee that came along with your Keurig Coffee maker, but a much lighter roast. The picture is misleading and shows the k cup that matches the regular roast. The light roast has the word Noisette written under it. I ordered two boxes and received this lighter roast, I noticed the word light roast on the box as well. I complained and was told that they would send me the regular roast, but to my dismay they once again sent me the light roast. I find the light roast taste similar to run thru coffee and has a weak hazelnut flavor. I am very disappointed in this whole transaction and will order straight from the wholesaler next time. Sorry, Amazon I really love shopping with you, but ya'll drop the ball on this one.",negative,"Light roast not Regular!!!!!. This is NOT the regular roast Green Mountain Hazelnut coffee that came along with your Keurig Coffee maker, but a much lighter roast. The picture is misleading and shows the k cup that matches the regular roast. The light roast has the word Noisette written under it. I ordered two boxes and received this lighter roast, I noticed the word light roast on the box as well. I complained and was told that they would send me the regular roast, but to my dismay they once again sent me the light roast. I find the light roast taste similar to run thru coffee and has a weak hazelnut flavor. I am very disappointed in this whole transaction and will order straight from the wholesaler next time. Sorry, Amazon I really love shopping with you, but ya'll drop the ball on this one."
5,Very fresh!,"Jordan Almonds arrived well packed, and deliciously fresh.  Absolutely top quality.  Am preparing to order again to keep a ready stock on hand.  Everyone loves them!",positive,"Very fresh!. Jordan Almonds arrived well packed, and deliciously fresh.  Absolutely top quality.  Am preparing to order again to keep a ready stock on hand.  Everyone loves them!"
5,Great and helpful product!,"We've been using Greenies Pill Pockets for a couple of years with all our pets (dogs and cats). They are great! They are often much larger than the tabs and capsules, so we frequently only use 1/3 or 1/2 of each pill pocket per dose. That works out even better because we get more pill pockets for our money!  I have even put more than one pill in the pocket, with no issues from the pets.",positive,"Great and helpful product!. We've been using Greenies Pill Pockets for a couple of years with all our pets (dogs and cats). They are great! They are often much larger than the tabs and capsules, so we frequently only use 1/3 or 1/2 of each pill pocket per dose. That works out even better because we get more pill pockets for our money!  I have even put more than one pill in the pocket, with no issues from the pets."
1,Burnt taste nothing like Lavazza,"I bought this from Amazon since they don't have this kind of coffee locally. I had purchased the identical brand and boldness about a year ago.  Wow, this stuff doesn't even taste like what I had originally! It has an awful burnt taste that lingers as an aftertaste. It really doesn't even compare to what I had before. They must have changed the beans or reduced the quality because it is not smooth at all and has a bitterness and aftertaste that reminds me of the lingering taste after smoking a cigarette. I've decided to switch brands completely. No returns it so I'm stuck with 3 1/2 bricks of sub-par coffee grounds.",negative,"Burnt taste nothing like Lavazza. I bought this from Amazon since they don't have this kind of coffee locally. I had purchased the identical brand and boldness about a year ago.  Wow, this stuff doesn't even taste like what I had originally! It has an awful burnt taste that lingers as an aftertaste. It really doesn't even compare to what I had before. They must have changed the beans or reduced the quality because it is not smooth at all and has a bitterness and aftertaste that reminds me of the lingering taste after smoking a cigarette. I've decided to switch brands completely. No returns it so I'm stuck with 3 1/2 bricks of sub-par coffee grounds."
1,Beware!  Comes in a clear bag with no label,VERY disappointed!  These came in a clear plastic bag with NO label.  No ingredient list and NO info on where the candy was manufactured.  The candy arrived in broken pieces and the bag was full of powder.,negative,Beware!  Comes in a clear bag with no label. VERY disappointed!  These came in a clear plastic bag with NO label.  No ingredient list and NO info on where the candy was manufactured.  The candy arrived in broken pieces and the bag was full of powder.
5,Best Coffee EvER!!!!,"The best thing that I look foreward to every morning . It makes my day ,the best tasting coffee ever",positive,"Best Coffee EvER!!!!. The best thing that I look foreward to every morning . It makes my day ,the best tasting coffee ever"
5,Tastes good! I recommend this product,"My wife and I are big fans of Thai iced tea and we used to try it at every Thai food place we ate. When we found this in Amazon, we decided to try it ourselves - We brewed few batches and loved it. It tasted almost as good as a restaurant grade Thai tea. I'd say it was much better than what some Thai restaurants serve...really! If you love Thai tea, then this is a must-buy!",positive,"Tastes good! I recommend this product. My wife and I are big fans of Thai iced tea and we used to try it at every Thai food place we ate. When we found this in Amazon, we decided to try it ourselves - We brewed few batches and loved it. It tasted almost as good as a restaurant grade Thai tea. I'd say it was much better than what some Thai restaurants serve...really! If you love Thai tea, then this is a must-buy!"
2,"Dry and Edible; they fall apart in your hand, not in your mouth","I ordered these in an attempt to have healthier snacks. I usually enjoyed the taste and texture of rice cakes. Maybe this is just what brown rice cakes are like versus the white I'd previously known, but these were the driest rice cakes I'd ever known. Most of the rice cakes fell apart somewhat at the slightest touch, and as I finally eat the last bag after four months with them, I have a spare bag of the crumbs which is almost entirely full.<br /><br />On the plus side, they are rather shelf stable. The first bite months ago was as good as the last one.",negative,"Dry and Edible; they fall apart in your hand, not in your mouth. I ordered these in an attempt to have healthier snacks. I usually enjoyed the taste and texture of rice cakes. Maybe this is just what brown rice cakes are like versus the white I'd previously known, but these were the driest rice cakes I'd ever known. Most of the rice cakes fell apart somewhat at the slightest touch, and as I finally eat the last bag after four months with them, I have a spare bag of the crumbs which is almost entirely full.<br /><br />On the plus side, they are rather shelf stable. The first bite months ago was as good as the last one."
5,Wonderfully Delicious!,I have been looking for an alternative to hot chocolate for years because I do not eat or drink chocolate.  I just happened to come across this product while on vacation and was ecstatic to discover that I could buy it in a larger size.  It tastes great and I love to have mine topped with Fluff.  If you are looking for an alternative to hot chocolate this may just be the drink for you.,positive,Wonderfully Delicious!. I have been looking for an alternative to hot chocolate for years because I do not eat or drink chocolate.  I just happened to come across this product while on vacation and was ecstatic to discover that I could buy it in a larger size.  It tastes great and I love to have mine topped with Fluff.  If you are looking for an alternative to hot chocolate this may just be the drink for you.
5,can't get enough of it!,"i gave couple to start with my puppy and he lovesss it.<br />he just cannot get enough of it.  everytime i open the seal, he knows it's coming and<br />when it's closed, he begs for more!<br /><br />this has great scent when you grab it with your fingers so wash is a must after the treat, otherwise your fingers will be licked all day long =)",positive,"can't get enough of it!. i gave couple to start with my puppy and he lovesss it.<br />he just cannot get enough of it.  everytime i open the seal, he knows it's coming and<br />when it's closed, he begs for more!<br /><br />this has great scent when you grab it with your fingers so wash is a must after the treat, otherwise your fingers will be licked all day long =)"
